mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.022249555587768553,0.007592145925048945,0.10331201553344727,0.023016647040677487,manhattan,4,distance,44,"{'model__metric': 'manhattan', 'model__n_neighbors': 4, 'model__weights': 'distance', 'pca__n_components': 44}",0.800625,0.788125,0.803125,0.786875,0.799375,0.795625,0.006754628043053152,1
0.02409076690673828,0.008184817033325659,0.1556973934173584,0.07500040879019713,manhattan,4,distance,45,"{'model__metric': 'manhattan', 'model__n_neighbors': 4, 'model__weights': 'distance', 'pca__n_components': 45}",0.7975,0.78625,0.805,0.788125,0.799375,0.79525,0.007055582895835054,2
0.023168611526489257,0.0054281835408779375,0.12454962730407715,0.032415071255717874,manhattan,4,distance,46,"{'model__metric': 'manhattan', 'model__n_neighbors': 4, 'model__weights': 'distance', 'pca__n_components': 46}",0.799375,0.786875,0.8025,0.79125,0.7925,0.7945,0.005665134596812321,3
0.022192764282226562,0.0033660772522324323,0.12301225662231445,0.016706442501799933,manhattan,4,distance,48,"{'model__metric': 'manhattan', 'model__n_neighbors': 4, 'model__weights': 'distance', 'pca__n_components': 48}",0.798125,0.786875,0.8025,0.794375,0.788125,0.794,0.005910795208768448,4
0.018575191497802734,0.004707787525350452,0.11153616905212402,0.026438109877476447,manhattan,4,distance,43,"{'model__metric': 'manhattan', 'model__n_neighbors': 4, 'model__weights': 'distance', 'pca__n_components': 43}",0.805,0.78375,0.7875,0.78625,0.791875,0.790875,0.007537406715840698,5
0.019168329238891602,0.0032960965528317783,0.12644524574279786,0.02145362549952091,manhattan,2,distance,48,"{'model__metric': 'manhattan', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 48}",0.7925,0.78,0.80375,0.79,0.784375,0.790125,0.008085480814398088,6
0.021172142028808592,0.004769669491081047,0.09195089340209961,0.020888845116725573,manhattan,4,distance,42,"{'model__metric': 'manhattan', 'model__n_neighbors': 4, 'model__weights': 'distance', 'pca__n_components': 42}",0.793125,0.776875,0.80125,0.78375,0.795625,0.790125,0.008708831724175197,6
0.03326559066772461,0.02793799621921544,0.14157285690307617,0.020797765280416578,manhattan,2,distance,46,"{'model__metric': 'manhattan', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 46}",0.779375,0.78625,0.80125,0.78875,0.793125,0.78975,0.00727366826298807,8
0.01864938735961914,0.002599009455750939,0.11568784713745117,0.028321306671004184,manhattan,2,distance,45,"{'model__metric': 'manhattan', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 45}",0.78625,0.784375,0.8075,0.783125,0.785,0.7892500000000001,0.009180482013489265,9
0.027486610412597656,0.016216490125845705,0.10323233604431152,0.02501631484771334,manhattan,4,distance,40,"{'model__metric': 'manhattan', 'model__n_neighbors': 4, 'model__weights': 'distance', 'pca__n_components': 40}",0.79,0.77625,0.801875,0.79125,0.785625,0.7889999999999999,0.00831602368923995,10
0.02590799331665039,0.008299047257152116,0.14268817901611328,0.047210666895502504,manhattan,2,distance,44,"{'model__metric': 'manhattan', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 44}",0.789375,0.784375,0.79625,0.78125,0.786875,0.787625,0.0050836748519156915,11
