id,y_true,prob_1,pred,source_model
1,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
2,1,0.5009551,1,challenge_08_knn_cleaning_colab_ultra
3,1,0.0,0,challenge_08_knn_cleaning_colab_ultra
4,1,0.525379,1,challenge_08_knn_cleaning_colab_ultra
5,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
6,0,0.4124358,0,challenge_08_knn_cleaning_colab_ultra
7,0,1.0,1,challenge_08_knn_cleaning_colab_ultra
8,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
9,1,0.4992495,0,challenge_08_knn_cleaning_colab_ultra
10,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
11,0,0.48937,0,challenge_08_knn_cleaning_colab_ultra
12,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
13,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
14,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
15,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
16,0,0.49752918,0,challenge_08_knn_cleaning_colab_ultra
17,1,0.49628025,0,challenge_08_knn_cleaning_colab_ultra
18,0,0.49557698,0,challenge_08_knn_cleaning_colab_ultra
19,1,0.4993679,0,challenge_08_knn_cleaning_colab_ultra
20,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
21,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
22,1,0.50139874,1,challenge_08_knn_cleaning_colab_ultra
23,0,0.492882,0,challenge_08_knn_cleaning_colab_ultra
24,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
25,0,0.47821012,0,challenge_08_knn_cleaning_colab_ultra
26,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
27,0,0.48769835,0,challenge_08_knn_cleaning_colab_ultra
28,1,0.50092757,1,challenge_08_knn_cleaning_colab_ultra
29,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
30,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
31,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
32,1,0.5018814,1,challenge_08_knn_cleaning_colab_ultra
33,1,0.0,0,challenge_08_knn_cleaning_colab_ultra
34,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
35,1,0.5604008,1,challenge_08_knn_cleaning_colab_ultra
36,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
37,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
38,0,0.4884493,0,challenge_08_knn_cleaning_colab_ultra
39,1,0.0,0,challenge_08_knn_cleaning_colab_ultra
40,1,0.49918616,0,challenge_08_knn_cleaning_colab_ultra
41,1,0.5012791,1,challenge_08_knn_cleaning_colab_ultra
42,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
43,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
44,1,0.4998947,0,challenge_08_knn_cleaning_colab_ultra
45,0,1.0,1,challenge_08_knn_cleaning_colab_ultra
46,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
47,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
48,0,0.48320764,0,challenge_08_knn_cleaning_colab_ultra
49,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
50,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
51,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
52,1,0.50628644,1,challenge_08_knn_cleaning_colab_ultra
53,1,0.50062674,1,challenge_08_knn_cleaning_colab_ultra
54,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
55,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
56,0,0.46897513,0,challenge_08_knn_cleaning_colab_ultra
57,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
58,0,0.50362456,1,challenge_08_knn_cleaning_colab_ultra
59,0,0.5052774,1,challenge_08_knn_cleaning_colab_ultra
60,1,0.523061,1,challenge_08_knn_cleaning_colab_ultra
61,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
62,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
63,1,0.0,0,challenge_08_knn_cleaning_colab_ultra
64,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
65,1,0.51140445,1,challenge_08_knn_cleaning_colab_ultra
66,0,0.5181764,1,challenge_08_knn_cleaning_colab_ultra
67,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
68,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
69,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
70,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
71,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
72,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
73,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
74,1,0.48438665,0,challenge_08_knn_cleaning_colab_ultra
75,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
76,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
77,1,0.0,0,challenge_08_knn_cleaning_colab_ultra
78,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
79,0,0.49208373,0,challenge_08_knn_cleaning_colab_ultra
80,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
81,0,1.0,1,challenge_08_knn_cleaning_colab_ultra
82,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
83,0,0.49388835,0,challenge_08_knn_cleaning_colab_ultra
84,0,0.5233966,1,challenge_08_knn_cleaning_colab_ultra
85,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
86,0,0.5030171,1,challenge_08_knn_cleaning_colab_ultra
87,0,0.46864444,0,challenge_08_knn_cleaning_colab_ultra
88,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
89,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
90,0,0.0,0,challenge_08_knn_cleaning_colab_ultra
91,1,1.0,1,challenge_08_knn_cleaning_colab_ultra
92,0,0.49833074,0,challenge_08_knn_cleaning_colab_ultra
