candidate_id,source,signature,feature__set,feature__raw_pca,scale__method,model__family,model__n_neighbors,model__metric,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds
stage1_101,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",all,32,standard,svm,,,6.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,0,0.929375,1.92
stage1_107,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,32,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,0,0.9225,1.811
stage1_065,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",fft,32,standard,svm,,,6.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,0,0.92625,2.5
stage1_071,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",fft,32,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,0,0.92625,1.845
stage1_089,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",all,16,standard,svm,,,6.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,0,0.925625,1.535
stage1_100,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",all,32,standard,svm,,,3.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,0,0.92375,1.847
stage1_082,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 0, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,0,robust,svm,,,3.0,0.01,"{""feature__raw_pca"": 0, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,0,0.919375,1.205
stage1_083,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 0, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,0,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 0, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,0,0.919375,1.164
stage1_095,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,16,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,0,0.92375,1.495
stage1_106,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,32,robust,svm,,,3.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,0,0.9225,2.331
