id,y_true,prob_1,pred,source_model
1,0,0.19664693,0,challenge_12_final_stacking_colab
2,1,0.75153893,1,challenge_12_final_stacking_colab
3,1,0.5639683,1,challenge_12_final_stacking_colab
4,1,0.78732467,1,challenge_12_final_stacking_colab
5,1,0.9937021,1,challenge_12_final_stacking_colab
6,0,0.2058061,0,challenge_12_final_stacking_colab
7,0,0.42544633,0,challenge_12_final_stacking_colab
8,1,0.6597204,1,challenge_12_final_stacking_colab
9,1,0.7853874,1,challenge_12_final_stacking_colab
10,0,0.48002717,0,challenge_12_final_stacking_colab
11,0,0.2206767,0,challenge_12_final_stacking_colab
12,1,0.99842864,1,challenge_12_final_stacking_colab
13,1,0.91718584,1,challenge_12_final_stacking_colab
14,1,0.9999987,1,challenge_12_final_stacking_colab
15,1,0.9801041,1,challenge_12_final_stacking_colab
16,0,0.42243385,0,challenge_12_final_stacking_colab
17,1,0.31063974,0,challenge_12_final_stacking_colab
18,0,0.6948151,1,challenge_12_final_stacking_colab
19,1,0.42159852,0,challenge_12_final_stacking_colab
20,0,0.0011940843,0,challenge_12_final_stacking_colab
21,0,0.015558722,0,challenge_12_final_stacking_colab
22,1,0.7835089,1,challenge_12_final_stacking_colab
23,0,0.30033746,0,challenge_12_final_stacking_colab
24,1,0.9492359,1,challenge_12_final_stacking_colab
25,0,0.6330031,1,challenge_12_final_stacking_colab
26,1,0.9059952,1,challenge_12_final_stacking_colab
27,0,0.2669425,0,challenge_12_final_stacking_colab
28,1,0.77709234,1,challenge_12_final_stacking_colab
29,0,0.021454778,0,challenge_12_final_stacking_colab
30,1,0.99999946,1,challenge_12_final_stacking_colab
31,1,0.9248546,1,challenge_12_final_stacking_colab
32,1,0.7350743,1,challenge_12_final_stacking_colab
33,1,0.23112503,0,challenge_12_final_stacking_colab
34,1,0.80361354,1,challenge_12_final_stacking_colab
35,1,0.810477,1,challenge_12_final_stacking_colab
36,1,0.998004,1,challenge_12_final_stacking_colab
37,1,0.71880263,1,challenge_12_final_stacking_colab
38,0,0.21068883,0,challenge_12_final_stacking_colab
39,1,0.56783164,1,challenge_12_final_stacking_colab
40,1,0.7200141,1,challenge_12_final_stacking_colab
41,1,0.788036,1,challenge_12_final_stacking_colab
42,0,0.00069797854,0,challenge_12_final_stacking_colab
43,0,0.1310713,0,challenge_12_final_stacking_colab
44,1,0.7491997,1,challenge_12_final_stacking_colab
45,0,0.52088535,1,challenge_12_final_stacking_colab
46,0,0.00017834846,0,challenge_12_final_stacking_colab
47,1,0.9845928,1,challenge_12_final_stacking_colab
48,0,0.20538795,0,challenge_12_final_stacking_colab
49,0,5.515856e-06,0,challenge_12_final_stacking_colab
50,0,7.072084e-08,0,challenge_12_final_stacking_colab
51,1,0.9963846,1,challenge_12_final_stacking_colab
52,1,0.7745048,1,challenge_12_final_stacking_colab
53,1,0.7692287,1,challenge_12_final_stacking_colab
54,0,0.0008506068,0,challenge_12_final_stacking_colab
55,1,0.9926601,1,challenge_12_final_stacking_colab
56,0,0.19945256,0,challenge_12_final_stacking_colab
57,0,0.00011713359,0,challenge_12_final_stacking_colab
58,0,0.21406941,0,challenge_12_final_stacking_colab
59,0,0.2900378,0,challenge_12_final_stacking_colab
60,1,0.78262645,1,challenge_12_final_stacking_colab
61,0,0.0009946798,0,challenge_12_final_stacking_colab
62,0,9.905057e-05,0,challenge_12_final_stacking_colab
63,1,0.5514836,1,challenge_12_final_stacking_colab
64,0,0.50870645,1,challenge_12_final_stacking_colab
65,1,0.4328151,0,challenge_12_final_stacking_colab
66,0,0.22289188,0,challenge_12_final_stacking_colab
67,1,0.9474126,1,challenge_12_final_stacking_colab
68,0,0.00030771992,0,challenge_12_final_stacking_colab
69,0,0.010031524,0,challenge_12_final_stacking_colab
70,1,0.99426883,1,challenge_12_final_stacking_colab
71,0,0.07259588,0,challenge_12_final_stacking_colab
72,0,0.034315877,0,challenge_12_final_stacking_colab
73,1,0.9868867,1,challenge_12_final_stacking_colab
74,1,0.78086346,1,challenge_12_final_stacking_colab
75,0,0.00079002266,0,challenge_12_final_stacking_colab
76,0,0.013928527,0,challenge_12_final_stacking_colab
77,1,0.5727755,1,challenge_12_final_stacking_colab
78,0,0.00017310458,0,challenge_12_final_stacking_colab
79,0,0.20917606,0,challenge_12_final_stacking_colab
80,1,0.993986,1,challenge_12_final_stacking_colab
81,0,0.85891736,1,challenge_12_final_stacking_colab
82,0,2.3590455e-05,0,challenge_12_final_stacking_colab
83,0,0.22708173,0,challenge_12_final_stacking_colab
84,0,0.22268435,0,challenge_12_final_stacking_colab
85,1,0.99817294,1,challenge_12_final_stacking_colab
86,0,0.21533303,0,challenge_12_final_stacking_colab
87,0,0.19917601,0,challenge_12_final_stacking_colab
88,1,0.98619395,1,challenge_12_final_stacking_colab
89,1,0.99214464,1,challenge_12_final_stacking_colab
90,0,4.115586e-05,0,challenge_12_final_stacking_colab
91,1,0.783097,1,challenge_12_final_stacking_colab
92,0,0.23281287,0,challenge_12_final_stacking_colab
93,0,0.1636774,0,challenge_12_final_stacking_colab
94,0,0.2193177,0,challenge_12_final_stacking_colab
95,0,0.27456978,0,challenge_12_final_stacking_colab
96,0,0.01474258,0,challenge_12_final_stacking_colab
97,0,0.15400182,0,challenge_12_final_stacking_colab
98,1,0.9999999,1,challenge_12_final_stacking_colab
99,0,0.05209209,0,challenge_12_final_stacking_colab
100,1,0.9799102,1,challenge_12_final_stacking_colab
101,0,0.21056262,0,challenge_12_final_stacking_colab
102,0,0.22241038,0,challenge_12_final_stacking_colab
103,0,0.21876524,0,challenge_12_final_stacking_colab
104,1,0.77845407,1,challenge_12_final_stacking_colab
105,1,0.93103516,1,challenge_12_final_stacking_colab
106,1,0.9885631,1,challenge_12_final_stacking_colab
107,0,5.525873e-05,0,challenge_12_final_stacking_colab
108,0,0.0012409848,0,challenge_12_final_stacking_colab
109,1,0.9649735,1,challenge_12_final_stacking_colab
110,0,0.42507222,0,challenge_12_final_stacking_colab
111,0,0.00015865934,0,challenge_12_final_stacking_colab
112,0,9.324453e-05,0,challenge_12_final_stacking_colab
113,0,0.2210644,0,challenge_12_final_stacking_colab
114,1,0.90820265,1,challenge_12_final_stacking_colab
115,1,0.8858545,1,challenge_12_final_stacking_colab
116,0,0.0001991089,0,challenge_12_final_stacking_colab
117,1,0.995923,1,challenge_12_final_stacking_colab
118,1,0.7845752,1,challenge_12_final_stacking_colab
119,0,0.4255994,0,challenge_12_final_stacking_colab
120,0,0.1828391,0,challenge_12_final_stacking_colab
121,0,0.2778167,0,challenge_12_final_stacking_colab
122,0,0.3813438,0,challenge_12_final_stacking_colab
123,1,0.99999934,1,challenge_12_final_stacking_colab
124,0,0.20251651,0,challenge_12_final_stacking_colab
125,0,0.18250002,0,challenge_12_final_stacking_colab
126,0,0.4711519,0,challenge_12_final_stacking_colab
127,1,0.9958022,1,challenge_12_final_stacking_colab
128,0,0.118990876,0,challenge_12_final_stacking_colab
129,0,0.21217747,0,challenge_12_final_stacking_colab
130,1,0.632575,1,challenge_12_final_stacking_colab
131,1,0.5710018,1,challenge_12_final_stacking_colab
132,0,0.0010354274,0,challenge_12_final_stacking_colab
133,0,1.7377744e-05,0,challenge_12_final_stacking_colab
134,0,0.032367088,0,challenge_12_final_stacking_colab
135,1,1.0,1,challenge_12_final_stacking_colab
136,0,0.058596194,0,challenge_12_final_stacking_colab
137,1,0.9999935,1,challenge_12_final_stacking_colab
138,0,0.00095839787,0,challenge_12_final_stacking_colab
139,0,0.0001988354,0,challenge_12_final_stacking_colab
140,1,0.9999998,1,challenge_12_final_stacking_colab
141,1,0.99999344,1,challenge_12_final_stacking_colab
142,0,0.108483545,0,challenge_12_final_stacking_colab
143,0,6.343663e-05,0,challenge_12_final_stacking_colab
144,1,0.8083474,1,challenge_12_final_stacking_colab
145,0,0.0031138216,0,challenge_12_final_stacking_colab
146,0,0.51187295,1,challenge_12_final_stacking_colab
147,1,0.99125326,1,challenge_12_final_stacking_colab
148,0,0.20082095,0,challenge_12_final_stacking_colab
149,1,0.9912429,1,challenge_12_final_stacking_colab
