candidate_id,source,signature,clean__method,scale__method,pca__n_components,model__n_neighbors,model__metric,params_json,stage,fold_idx,fold_accuracy,fit_seconds,removed_rows
stage1_053,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 40, ""scale__method"": ""standard""}",none,standard,40,4,manhattan,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 40, ""scale__method"": ""standard""}",stage2_cv,0,0.7664041994750657,0.942,0
stage1_012,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 56, ""scale__method"": ""standard""}",lof_0.03,standard,56,4,manhattan,"{""clean__method"": ""lof_0.03"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 56, ""scale__method"": ""standard""}",stage2_cv,0,0.7581552305961755,1.465,160
stage1_018,stage2_shortlist_from_stage1,"{""clean__method"": ""tomek"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 44, ""scale__method"": ""standard""}",tomek,standard,44,4,manhattan,"{""clean__method"": ""tomek"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 44, ""scale__method"": ""standard""}",stage2_cv,0,0.7656542932133483,1.448,136
stage1_106,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 60, ""scale__method"": ""robust""}",lof_0.05,robust,60,4,manhattan,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 60, ""scale__method"": ""robust""}",stage2_cv,0,0.7540307461567304,1.578,268
stage1_081,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""robust""}",none,robust,64,4,manhattan,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""robust""}",stage2_cv,0,0.7682789651293588,1.422,0
stage1_004,stage2_shortlist_from_stage1,"{""clean__method"": ""tomek"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 48, ""scale__method"": ""robust""}",tomek,robust,48,4,manhattan,"{""clean__method"": ""tomek"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 48, ""scale__method"": ""robust""}",stage2_cv,0,0.7682789651293588,1.779,136
stage1_043,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 6, ""model__weights"": ""distance"", ""pca__n_components"": 48, ""scale__method"": ""robust""}",none,robust,48,6,manhattan,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 6, ""model__weights"": ""distance"", ""pca__n_components"": 48, ""scale__method"": ""robust""}",stage2_cv,0,0.7592800899887514,1.547,0
stage1_023,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 36, ""scale__method"": ""standard""}",none,standard,36,4,euclidean,"{""clean__method"": ""none"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 36, ""scale__method"": ""standard""}",stage2_cv,0,0.7454068241469817,0.246,0
stage1_031,stage2_shortlist_from_stage1,"{""clean__method"": ""tomek"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""pca__n_components"": 40, ""scale__method"": ""standard""}",tomek,standard,40,3,euclidean,"{""clean__method"": ""tomek"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""pca__n_components"": 40, ""scale__method"": ""standard""}",stage2_cv,0,0.7427821522309711,0.851,136
stage1_056,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 40, ""scale__method"": ""standard""}",lof_0.05,standard,40,4,euclidean,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 40, ""scale__method"": ""standard""}",stage2_cv,0,0.7532808398950132,0.475,268
stage1_030,stage2_shortlist_from_stage1,"{""clean__method"": ""tomek"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""pca__n_components"": 36, ""scale__method"": ""standard""}",tomek,standard,36,3,manhattan,"{""clean__method"": ""tomek"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""pca__n_components"": 36, ""scale__method"": ""standard""}",stage2_cv,0,0.7495313085864267,1.28,136
