candidate_id,source,signature,clean__method,scale__method,pca__n_components,model__n_neighbors,model__metric,params_json,stage,cv_mean_accuracy,cv_std_accuracy,mean_removed_rows,total_fit_seconds,completed_folds
stage3_781,stage3_seed_3,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""standard""}",none,standard,64,2,manhattan,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""standard""}",stage3_local_cv,0.7986249999999999,0.0069641941385920544,0.0,5.418,5
stage3_709,stage3_seed_3,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""robust""}",lof_0.05,robust,64,2,manhattan,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""robust""}",stage3_local_cv,0.79825,0.007850159234053791,320.0,8.222000000000001,5
stage3_661,stage3_seed_3,"{""clean__method"": ""lof_0.03"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""robust""}",lof_0.03,robust,64,2,manhattan,"{""clean__method"": ""lof_0.03"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""robust""}",stage3_local_cv,0.797625,0.009645270861930197,192.0,8.567,5
stage3_685,stage3_seed_3,"{""clean__method"": ""lof_0.03"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""standard""}",lof_0.03,standard,64,2,manhattan,"{""clean__method"": ""lof_0.03"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""standard""}",stage3_local_cv,0.79675,0.011176146473628568,192.0,6.986999999999999,5
stage3_017,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 44, ""scale__method"": ""robust""}",lof_0.03,robust,44,4,manhattan,"{""clean__method"": ""lof_0.03"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 44, ""scale__method"": ""robust""}",stage3_local_cv,0.796625,0.007284401142166747,192.0,6.272,5
stage3_757,stage3_seed_3,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""robust""}",none,robust,64,2,manhattan,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""robust""}",stage3_local_cv,0.7965,0.007568437751610318,0.0,5.74,5
stage3_029,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 48, ""scale__method"": ""robust""}",lof_0.03,robust,48,4,manhattan,"{""clean__method"": ""lof_0.03"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 48, ""scale__method"": ""robust""}",stage3_local_cv,0.7965,0.010028085560065788,192.0,6.92,5
stage3_733,stage3_seed_3,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""standard""}",lof_0.05,standard,64,2,manhattan,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 64, ""scale__method"": ""standard""}",stage3_local_cv,0.7965,0.002755675960631059,320.0,7.186999999999999,5
stage3_161,stage3_seed_0,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 52, ""scale__method"": ""robust""}",lof_0.05,robust,52,4,manhattan,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 52, ""scale__method"": ""robust""}",stage3_local_cv,0.7962499999999999,0.010658036873646113,320.0,7.523,5
stage3_137,stage3_seed_0,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 44, ""scale__method"": ""robust""}",lof_0.05,robust,44,4,manhattan,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 44, ""scale__method"": ""robust""}",stage3_local_cv,0.795875,0.008183443651666466,320.0,6.8420000000000005,5
