candidate_id,signature,meta_family,base_models_json,weights_json,C,best_threshold,meta_oof_accuracy
blend_0017,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.425, 0.575]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.425, 0.575]",,0.49,0.9476
blend_0015,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.375, 0.625]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.375, 0.625]",,0.52,0.9474
blend_0014,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.35, 0.65]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.35, 0.65]",,0.54,0.9474
blend_0013,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.325, 0.675]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.325, 0.675]",,0.58,0.9474
blend_0044,"{""C"": 1.0, ""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""logreg""}",logreg,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]",,1.0,0.65,0.9473
blend_0043,"{""C"": 0.5, ""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""logreg""}",logreg,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]",,0.5,0.65,0.9473
blend_0046,"{""C"": 4.0, ""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""logreg""}",logreg,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]",,4.0,0.65,0.9472
blend_0041,"{""C"": 0.1, ""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""logreg""}",logreg,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]",,0.1,0.64,0.9472
blend_0016,"{""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""weighted_average"", ""weights"": [0.4, 0.6]}",weighted_average,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]","[0.4, 0.6]",,0.51,0.9472
blend_0048,"{""C"": 16.0, ""base_models"": [""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""], ""meta_family"": ""logreg""}",logreg,"[""challenge_08_knn_cleaning_colab_ultra"", ""challenge_10_signal_features_colab_ultra""]",,16.0,0.65,0.9472
