id,y_true,prob_1,pred,source_model
1,0,0.34199467,0,challenge_10_signal_features_colab_ultra
2,1,0.93675303,1,challenge_10_signal_features_colab_ultra
3,1,0.98081446,1,challenge_10_signal_features_colab_ultra
4,1,0.9809367,1,challenge_10_signal_features_colab_ultra
5,1,0.9890472,1,challenge_10_signal_features_colab_ultra
6,0,0.053079806,0,challenge_10_signal_features_colab_ultra
7,0,0.0007762269,0,challenge_10_signal_features_colab_ultra
8,1,0.40820938,0,challenge_10_signal_features_colab_ultra
9,1,0.99688065,1,challenge_10_signal_features_colab_ultra
10,0,0.83482987,1,challenge_10_signal_features_colab_ultra
11,0,0.022077316,0,challenge_10_signal_features_colab_ultra
12,1,0.9972672,1,challenge_10_signal_features_colab_ultra
13,1,0.8559754,1,challenge_10_signal_features_colab_ultra
14,1,0.99999774,1,challenge_10_signal_features_colab_ultra
15,1,0.9653984,1,challenge_10_signal_features_colab_ultra
16,0,0.3669286,0,challenge_10_signal_features_colab_ultra
17,1,0.17342721,0,challenge_10_signal_features_colab_ultra
18,0,0.84207803,1,challenge_10_signal_features_colab_ultra
19,1,0.36411682,0,challenge_10_signal_features_colab_ultra
20,0,0.0020766684,0,challenge_10_signal_features_colab_ultra
21,0,0.027058648,0,challenge_10_signal_features_colab_ultra
22,1,0.9920251,1,challenge_10_signal_features_colab_ultra
23,0,0.15802196,0,challenge_10_signal_features_colab_ultra
24,1,0.9117146,1,challenge_10_signal_features_colab_ultra
25,0,0.7474153,1,challenge_10_signal_features_colab_ultra
26,1,0.8365134,1,challenge_10_signal_features_colab_ultra
27,0,0.10377511,0,challenge_10_signal_features_colab_ultra
28,1,0.98121417,1,challenge_10_signal_features_colab_ultra
29,0,0.037312657,0,challenge_10_signal_features_colab_ultra
30,1,0.9999991,1,challenge_10_signal_features_colab_ultra
31,1,0.86931235,1,challenge_10_signal_features_colab_ultra
32,1,0.9074342,1,challenge_10_signal_features_colab_ultra
33,1,0.40195656,0,challenge_10_signal_features_colab_ultra
34,1,0.6584583,1,challenge_10_signal_features_colab_ultra
35,1,0.99531597,1,challenge_10_signal_features_colab_ultra
36,1,0.9965287,1,challenge_10_signal_features_colab_ultra
37,1,0.5109611,1,challenge_10_signal_features_colab_ultra
38,0,0.0053876163,0,challenge_10_signal_features_colab_ultra
39,1,0.98753333,1,challenge_10_signal_features_colab_ultra
40,1,0.8832347,1,challenge_10_signal_features_colab_ultra
41,1,0.99998677,1,challenge_10_signal_features_colab_ultra
42,0,0.0012138757,0,challenge_10_signal_features_colab_ultra
43,0,0.22795008,0,challenge_10_signal_features_colab_ultra
44,1,0.9334686,1,challenge_10_signal_features_colab_ultra
45,0,0.1667571,0,challenge_10_signal_features_colab_ultra
46,0,0.00031017125,0,challenge_10_signal_features_colab_ultra
47,1,0.9732049,1,challenge_10_signal_features_colab_ultra
48,0,4.2950345e-05,0,challenge_10_signal_features_colab_ultra
49,0,9.5927935e-06,0,challenge_10_signal_features_colab_ultra
50,0,1.2299276e-07,0,challenge_10_signal_features_colab_ultra
51,1,0.99371237,1,challenge_10_signal_features_colab_ultra
