candidate_id,source,signature,clean__method,scale__method,pca__n_components,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds,removed_rows
stage1_073,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 96, ""scale__method"": ""robust""}",none,robust,96,2.0,0.02,"{""clean__method"": ""none"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 96, ""scale__method"": ""robust""}",stage2_cv,0,0.7802774653168354,3.965,0
stage1_016,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""standard""}",lof_0.03,standard,144,8.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""standard""}",stage2_cv,0,0.7791526059242595,5.757,160
stage1_072,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,144,8.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",stage2_cv,0,0.7799025121859767,9.409,160
stage1_078,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,144,6.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",stage2_cv,0,0.7802774653168354,8.065,160
stage1_045,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 136, ""scale__method"": ""standard""}",lof_0.03,standard,136,8.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 136, ""scale__method"": ""standard""}",stage2_cv,0,0.7829021372328459,6.263,160
stage1_074,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""quantile_normal""}",lof_0.05,quantile_normal,128,3.0,0.01,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""quantile_normal""}",stage2_cv,0,0.7810273715785527,4.753,268
stage1_046,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""power_yeo""}",lof_0.05,power_yeo,128,3.0,0.01,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""power_yeo""}",stage2_cv,0,0.7844019497562804,7.888,268
stage1_005,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""standard""}",none,standard,144,4.0,0.005,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""standard""}",stage2_cv,0,0.7724034495688039,4.823,0
stage1_015,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.02, ""pca__n_components"": 112, ""scale__method"": ""robust""}",lof_0.03,robust,112,6.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.02, ""pca__n_components"": 112, ""scale__method"": ""robust""}",stage2_cv,0,0.7825271841019873,4.998,160
stage1_002,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",lof_0.03,robust,120,3.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",stage2_cv,0,0.7814023247094113,4.478,160
stage1_094,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",lof_0.03,robust,120,4.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",stage2_cv,0,0.7844019497562804,4.405,160
stage1_075,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 136, ""scale__method"": ""robust""}",lof_0.03,robust,136,2.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 136, ""scale__method"": ""robust""}",stage2_cv,0,0.787026621672291,6.098,160
stage1_049,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",none,quantile_normal,104,8.0,0.01,"{""clean__method"": ""none"", ""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",stage2_cv,0,0.7840269966254219,4.853,0
