candidate_id,source,signature,clean__method,scale__method,pca__n_components,model__C,model__gamma,params_json,stage,cv_mean_accuracy,cv_std_accuracy,mean_removed_rows,total_fit_seconds,completed_folds
stage1_094,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",lof_0.03,robust,120,4.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",stage2_cv,0.7893755872413922,0.003953211386637875,160.0,14.017,3
stage1_090,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 136, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,136,3.0,0.01,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 136, ""scale__method"": ""power_yeo""}",stage2_cv,0.7891253840831786,0.0027487933840934543,160.0,26.819000000000003,3
stage1_028,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",none,power_yeo,144,4.0,0.01,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",stage2_cv,0.7885010716496147,0.00621673673826931,0.0,26.589,3
stage1_075,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 136, ""scale__method"": ""robust""}",lof_0.03,robust,136,2.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 136, ""scale__method"": ""robust""}",stage2_cv,0.788250446563647,0.002567546626503339,160.0,17.027,3
stage1_046,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""power_yeo""}",lof_0.05,power_yeo,128,3.0,0.01,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""power_yeo""}",stage2_cv,0.787750555936697,0.0032762232303227817,268.0,22.066000000000003,3
stage1_074,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""quantile_normal""}",lof_0.05,quantile_normal,128,3.0,0.01,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""quantile_normal""}",stage2_cv,0.7861256652745864,0.004257092465474855,268.0,15.933,3
stage1_073,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 96, ""scale__method"": ""robust""}",none,robust,96,2.0,0.02,"{""clean__method"": ""none"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 96, ""scale__method"": ""robust""}",stage2_cv,0.7858757434015423,0.004719880196658925,0.0,11.933,3
stage1_002,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",lof_0.03,robust,120,3.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",stage2_cv,0.7857504308585583,0.0032454665134136742,160.0,14.417000000000002,3
stage1_045,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 136, ""scale__method"": ""standard""}",lof_0.03,standard,136,8.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 136, ""scale__method"": ""standard""}",stage2_cv,0.785374680753053,0.0035544412096306117,160.0,17.869,3
stage1_049,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",none,quantile_normal,104,8.0,0.01,"{""clean__method"": ""none"", ""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",stage2_cv,0.7848753995773033,0.002341813603198406,0.0,16.194,3
