candidate_id,source,signature,clean__method,scale__method,pca__n_components,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds,removed_rows
stage3_000,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,3.0,0.01,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.81125,9.671,192
stage3_001,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,3.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.8,9.128,192
stage3_002,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.03, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,3.0,0.03,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.03, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.779375,8.328,192
stage3_003,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.04, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,3.0,0.04,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.04, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.758125,9.852,192
stage3_004,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,4.0,0.01,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.810625,12.17,192
stage3_005,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,4.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.799375,9.562,192
stage3_006,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.03, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,4.0,0.03,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.03, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.7775,8.454,192
stage3_007,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.04, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,4.0,0.04,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.04, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.75875,9.237,192
stage3_008,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,6.0,0.01,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.80625,9.453,192
stage3_009,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.02, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,6.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.02, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.7975,9.18,192
stage3_010,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.03, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,6.0,0.03,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.03, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.776875,8.65,192
stage3_011,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.04, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,6.0,0.04,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.04, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.759375,9.197,192
stage3_012,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,8.0,0.01,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.805625,9.503,192
stage3_013,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,8.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.7975,8.355,192
stage3_014,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.03, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,8.0,0.03,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.03, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.779375,9.37,192
stage3_015,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.04, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,104,8.0,0.04,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.04, ""pca__n_components"": 104, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.760625,9.596,192
stage3_016,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 112, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,112,3.0,0.01,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 112, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.809375,9.504,192
stage3_017,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 112, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,112,3.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 112, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.80125,8.182,192
stage3_018,stage3_seed_0,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.03, ""pca__n_components"": 112, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,112,3.0,0.03,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.03, ""pca__n_components"": 112, ""scale__method"": ""power_yeo""}",stage3_local_cv,0,0.77875,9.213,192
