candidate_id,source,signature,criterion,max_depth,min_samples_leaf,min_samples_split,max_features,max_samples,params_json,stage,n_estimators,oob_accuracy,fit_seconds
stage1_086,stage1_random_oob,"{""criterion"": ""log_loss"", ""max_depth"": 32, ""max_features"": ""sqrt"", ""max_samples"": 0.9, ""min_samples_leaf"": 1, ""min_samples_split"": 14}",log_loss,32.0,1,14,sqrt,0.9,"{""criterion"": ""log_loss"", ""max_depth"": 32, ""max_features"": ""sqrt"", ""max_samples"": 0.9, ""min_samples_leaf"": 1, ""min_samples_split"": 14}",stage1_oob,224,0.70328125,44.413
stage1_091,stage1_random_oob,"{""criterion"": ""entropy"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""max_samples"": 0.65, ""min_samples_leaf"": 6, ""min_samples_split"": 4}",entropy,16.0,6,4,sqrt,0.65,"{""criterion"": ""entropy"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""max_samples"": 0.65, ""min_samples_leaf"": 6, ""min_samples_split"": 4}",stage1_oob,224,0.704375,29.308
stage1_038,stage1_random_oob,"{""criterion"": ""log_loss"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 10}",log_loss,16.0,6,10,sqrt,,"{""criterion"": ""log_loss"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 10}",stage1_oob,224,0.705625,40.938
stage1_055,stage1_random_oob,"{""criterion"": ""gini"", ""max_depth"": 40, ""max_features"": ""sqrt"", ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",gini,40.0,3,10,sqrt,0.8,"{""criterion"": ""gini"", ""max_depth"": 40, ""max_features"": ""sqrt"", ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",stage1_oob,224,0.7071875,30.499
stage1_069,stage1_random_oob,"{""criterion"": ""entropy"", ""max_depth"": 16, ""max_features"": 0.25, ""max_samples"": 0.65, ""min_samples_leaf"": 6, ""min_samples_split"": 6}",entropy,16.0,6,6,0.25,0.65,"{""criterion"": ""entropy"", ""max_depth"": 16, ""max_features"": 0.25, ""max_samples"": 0.65, ""min_samples_leaf"": 6, ""min_samples_split"": 6}",stage1_oob,224,0.7075,103.19
stage1_082,stage1_random_oob,"{""criterion"": ""entropy"", ""max_depth"": 16, ""max_features"": 0.35, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",entropy,16.0,3,4,0.35,0.8,"{""criterion"": ""entropy"", ""max_depth"": 16, ""max_features"": 0.35, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",stage1_oob,224,0.70765625,175.612
stage1_076,stage1_random_oob,"{""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_samples"": 0.8, ""min_samples_leaf"": 6, ""min_samples_split"": 10}",gini,,6,10,sqrt,0.8,"{""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_samples"": 0.8, ""min_samples_leaf"": 6, ""min_samples_split"": 10}",stage1_oob,224,0.7084375,28.503
stage1_064,stage1_random_oob,"{""criterion"": ""log_loss"", ""max_depth"": 24, ""max_features"": ""sqrt"", ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 4}",log_loss,24.0,6,4,sqrt,,"{""criterion"": ""log_loss"", ""max_depth"": 24, ""max_features"": ""sqrt"", ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 4}",stage1_oob,224,0.7090625,44.009
stage1_060,stage1_random_oob,"{""criterion"": ""gini"", ""max_depth"": 24, ""max_features"": 0.12, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 2}",gini,24.0,6,2,0.12,,"{""criterion"": ""gini"", ""max_depth"": 24, ""max_features"": 0.12, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 2}",stage1_oob,224,0.70984375,58.066
stage1_080,stage1_random_oob,"{""criterion"": ""gini"", ""max_depth"": 16, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",gini,16.0,2,2,0.18,,"{""criterion"": ""gini"", ""max_depth"": 16, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",stage1_oob,224,0.70984375,83.647
