candidate_id,source,signature,criterion,max_depth,min_samples_leaf,min_samples_split,max_features,max_samples,params_json,stage,n_estimators,cv_mean_accuracy,cv_std_accuracy,total_fit_seconds,completed_folds
stage1_088,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,40.0,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage2_cv,448,0.7301252103427057,0.0038616622528525354,1120.825,3
stage1_013,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",log_loss,40.0,2,4,0.7,0.9,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",stage2_cv,448,0.7288754603349,0.0031867255064051535,1998.676,3
stage1_049,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 10}",entropy,40.0,2,10,0.25,0.9,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 10}",stage2_cv,448,0.7255001789442486,0.0011830383253572858,729.427,3
stage1_022,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",entropy,,3,4,0.7,,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",stage2_cv,448,0.7238746319500761,0.002880050579569941,2131.242,3
stage1_041,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",gini,32.0,3,2,0.25,0.9,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",stage2_cv,448,0.7236249444813397,0.0038397148813090792,570.995,3
stage1_037,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 14}",entropy,40.0,6,14,0.35,,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 14}",stage2_cv,448,0.7228755539090997,0.006074954085059464,1008.039,3
stage1_094,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": 56, ""max_features"": ""sqrt"", ""max_samples"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",log_loss,56.0,2,2,sqrt,0.8,"{""criterion"": ""log_loss"", ""max_depth"": 56, ""max_features"": ""sqrt"", ""max_samples"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",stage2_cv,448,0.7228745225301451,0.0036460635041249798,198.736,3
stage1_010,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 24, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 10}",entropy,24.0,4,10,0.18,,"{""criterion"": ""entropy"", ""max_depth"": 24, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 10}",stage2_cv,448,0.7226251632274397,0.004534158466191771,550.734,3
stage1_061,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 56, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 10}",gini,56.0,4,10,0.35,,"{""criterion"": ""gini"", ""max_depth"": 56, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 10}",stage2_cv,448,0.722499944446179,0.0026211645737790326,816.213,3
stage1_024,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 56, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 6}",gini,56.0,6,6,0.18,,"{""criterion"": ""gini"", ""max_depth"": 56, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 6}",stage2_cv,448,0.7223753351161187,0.00413404349879235,400.72299999999996,3
