n_estimators,cv_mean_accuracy,cv_std_accuracy,total_fit_seconds,completed_folds,candidate_id,source,signature,criterion,max_depth,min_samples_leaf,min_samples_split,max_features,max_samples,params_json,stage
960,0.738875,0.010704847033003338,1275.508,5,stage1_088,stage3_finalists_from_stage2,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,40,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage3_tree_growth
1216,0.7382500000000001,0.010227108584541353,1274.764,5,stage1_088,stage3_finalists_from_stage2,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,40,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage3_tree_growth
960,0.7368750000000001,0.010774680969754973,2285.453,5,stage1_013,stage3_finalists_from_stage2,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",log_loss,40,2,4,0.7,0.9,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",stage3_tree_growth
1216,0.736,0.009342443470527389,2272.07,5,stage1_013,stage3_finalists_from_stage2,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",log_loss,40,2,4,0.7,0.9,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",stage3_tree_growth
1216,0.735875,0.011460530092452084,2430.802,5,stage1_022,stage3_finalists_from_stage2,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",entropy,,3,4,0.7,,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",stage3_tree_growth
704,0.735125,0.008104782538723682,2292.427,5,stage1_013,stage3_finalists_from_stage2,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",log_loss,40,2,4,0.7,0.9,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",stage3_tree_growth
448,0.735125,0.009661456929469778,4015.06,5,stage1_013,stage3_finalists_from_stage2,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",log_loss,40,2,4,0.7,0.9,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",stage3_tree_growth
704,0.73475,0.009258442093570587,1271.968,5,stage1_088,stage3_finalists_from_stage2,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,40,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage3_tree_growth
448,0.734375,0.013675936896607852,4243.0779999999995,5,stage1_022,stage3_finalists_from_stage2,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",entropy,,3,4,0.7,,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",stage3_tree_growth
704,0.7342500000000001,0.009273618495495696,2425.584,5,stage1_022,stage3_finalists_from_stage2,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",entropy,,3,4,0.7,,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",stage3_tree_growth
