candidate_id,source,signature,criterion,max_depth,min_samples_leaf,min_samples_split,max_features,max_samples,params_json,stage,n_estimators,cv_mean_accuracy,cv_std_accuracy,total_fit_seconds,completed_folds
stage4_012,stage4_criterion_probe,"{""criterion"": ""gini"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",gini,40.0,1,2,0.35,,"{""criterion"": ""gini"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,960,0.739875,0.009514791116992515,4379.3769999999995,5
stage4_000,stage4_center_from_stage3,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,40.0,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,960,0.73975,0.007121709766622027,3171.9030000000002,5
stage4_013,stage4_criterion_probe,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",entropy,40.0,1,2,0.35,,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,960,0.73975,0.007121709766622027,5119.403,5
stage4_003,stage4_depth_probe,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,960,0.7392500000000001,0.0072176000166259925,3196.434,5
stage4_002,stage4_depth_probe,"{""criterion"": ""log_loss"", ""max_depth"": 48, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,48.0,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 48, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,960,0.7392500000000001,0.0072176000166259925,3205.743,5
stage4_001,stage4_depth_probe,"{""criterion"": ""log_loss"", ""max_depth"": 32, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,32.0,1,2,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 32, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,960,0.7386250000000001,0.00731436941916387,3180.751,5
stage4_008,stage4_feature_probe,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.4, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,40.0,1,2,0.4,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.4, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,960,0.7370000000000001,0.00929885745669865,4639.544,5
stage4_011,stage4_sample_probe,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": 0.85, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,40.0,1,2,0.35,0.85,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": 0.85, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,960,0.7366250000000001,0.007772145778354887,4567.4169999999995,5
stage4_007,stage4_feature_probe,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.3, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",log_loss,40.0,1,2,0.3,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.3, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",stage4_local_cv,960,0.736625,0.006932712311931026,2779.858,5
stage4_006,stage4_split_probe,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 6}",log_loss,40.0,1,6,0.35,,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 6}",stage4_local_cv,960,0.73575,0.008171979564340563,3206.018,5
