candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds
stage1_005,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": 0.05, ""pca__n_components"": 128}",128,8.0,0.05,"{""model__C"": 8.0, ""model__gamma"": 0.05, ""pca__n_components"": 128}",stage2_cv,0,0.7652793400824897,5.622
stage1_005,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": 0.05, ""pca__n_components"": 128}",128,8.0,0.05,"{""model__C"": 8.0, ""model__gamma"": 0.05, ""pca__n_components"": 128}",stage2_cv,1,0.7532808398950132,4.855
stage1_005,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": 0.05, ""pca__n_components"": 128}",128,8.0,0.05,"{""model__C"": 8.0, ""model__gamma"": 0.05, ""pca__n_components"": 128}",stage2_cv,2,0.7550637659414854,6.062
stage1_007,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",160,4.0,0.05,"{""model__C"": 4.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",stage2_cv,0,0.7705286839145107,7.328
stage1_007,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",160,4.0,0.05,"{""model__C"": 4.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",stage2_cv,1,0.7600299962504687,7.108
stage1_007,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",160,4.0,0.05,"{""model__C"": 4.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",stage2_cv,2,0.7655663915978995,7.721
stage1_013,stage2_shortlist_from_stage1,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",112,2.0,0.02,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",stage2_cv,0,0.7877765279340082,6.75
stage1_013,stage2_shortlist_from_stage1,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",112,2.0,0.02,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",stage2_cv,1,0.7787776527934008,5.441
stage1_013,stage2_shortlist_from_stage1,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",112,2.0,0.02,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",stage2_cv,2,0.7933233308327082,4.683
stage1_014,stage2_shortlist_from_stage1,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",160,2.0,0.05,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",stage2_cv,0,0.7716535433070866,6.267
stage1_014,stage2_shortlist_from_stage1,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",160,2.0,0.05,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",stage2_cv,1,0.7592800899887514,5.724
stage1_014,stage2_shortlist_from_stage1,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",160,2.0,0.05,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",stage2_cv,2,0.7700675168792198,6.031
stage1_017,stage2_shortlist_from_stage1,"{""model__C"": 16.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",72,16.0,0.02,"{""model__C"": 16.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",stage2_cv,0,0.7806524184476941,5.312
stage1_017,stage2_shortlist_from_stage1,"{""model__C"": 16.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",72,16.0,0.02,"{""model__C"": 16.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",stage2_cv,1,0.7694038245219348,4.942
stage1_017,stage2_shortlist_from_stage1,"{""model__C"": 16.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",72,16.0,0.02,"{""model__C"": 16.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",stage2_cv,2,0.7828207051762941,4.652
stage1_028,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 44}",44,8.0,0.02,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 44}",stage2_cv,0,0.7832770903637045,4.852
stage1_028,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 44}",44,8.0,0.02,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 44}",stage2_cv,1,0.7709036370453693,4.653
stage1_028,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 44}",44,8.0,0.02,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 44}",stage2_cv,2,0.7888222055513878,4.604
stage1_032,stage2_shortlist_from_stage1,"{""model__C"": 32.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",128,32.0,0.0025,"{""model__C"": 32.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",stage2_cv,0,0.7907761529808774,6.363
stage1_032,stage2_shortlist_from_stage1,"{""model__C"": 32.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",128,32.0,0.0025,"{""model__C"": 32.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",stage2_cv,1,0.7885264341957255,7.025
stage1_032,stage2_shortlist_from_stage1,"{""model__C"": 32.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",128,32.0,0.0025,"{""model__C"": 32.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",stage2_cv,2,0.7719429857464366,7.229
stage1_035,stage2_shortlist_from_stage1,"{""model__C"": 64.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",160,64.0,0.05,"{""model__C"": 64.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",stage2_cv,0,0.7694038245219348,7.449
stage1_035,stage2_shortlist_from_stage1,"{""model__C"": 64.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",160,64.0,0.05,"{""model__C"": 64.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",stage2_cv,1,0.7694038245219348,8.571
stage1_035,stage2_shortlist_from_stage1,"{""model__C"": 64.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",160,64.0,0.05,"{""model__C"": 64.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",stage2_cv,2,0.7674418604651163,7.812
stage1_037,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": ""scale"", ""pca__n_components"": 96}",96,8.0,scale,"{""model__C"": 8.0, ""model__gamma"": ""scale"", ""pca__n_components"": 96}",stage2_cv,0,0.7877765279340082,5.105
stage1_037,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": ""scale"", ""pca__n_components"": 96}",96,8.0,scale,"{""model__C"": 8.0, ""model__gamma"": ""scale"", ""pca__n_components"": 96}",stage2_cv,1,0.7889013873265842,4.083
stage1_037,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": ""scale"", ""pca__n_components"": 96}",96,8.0,scale,"{""model__C"": 8.0, ""model__gamma"": ""scale"", ""pca__n_components"": 96}",stage2_cv,2,0.7835708927231808,4.379
stage1_038,stage2_shortlist_from_stage1,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 80}",80,2.0,0.05,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 80}",stage2_cv,0,0.7622797150356205,3.457
stage1_038,stage2_shortlist_from_stage1,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 80}",80,2.0,0.05,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 80}",stage2_cv,1,0.7480314960629921,3.408
stage1_038,stage2_shortlist_from_stage1,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 80}",80,2.0,0.05,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 80}",stage2_cv,2,0.7561890472618155,3.536
stage1_051,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",112,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",stage2_cv,0,0.7836520434945632,4.343
stage1_051,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",112,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",stage2_cv,1,0.7776527934008249,4.479
stage1_051,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",112,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",stage2_cv,2,0.791072768192048,5.351
stage1_066,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",72,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",stage2_cv,0,0.7847769028871391,3.841
stage1_066,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",72,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",stage2_cv,1,0.7799025121859767,3.781
