candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,cv_mean_accuracy,cv_std_accuracy,total_fit_seconds,completed_folds
stage1_066,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",72,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",stage2_cv,0.7873762591379002,0.00739551563565603,11.431000000000001,3
stage1_037,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": ""scale"", ""pca__n_components"": 96}",96,8.0,scale,"{""model__C"": 8.0, ""model__gamma"": ""scale"", ""pca__n_components"": 96}",stage2_cv,0.7867496026612577,0.002294119266892113,13.567,3
stage1_013,stage2_shortlist_from_stage1,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",112,2.0,0.02,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",stage2_cv,0.7866258371867058,0.005993733077292369,16.874,3
stage1_051,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",112,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 112}",stage2_cv,0.7841258683624787,0.005488916915224519,14.172999999999998,3
stage1_032,stage2_shortlist_from_stage1,"{""model__C"": 32.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",128,32.0,0.0025,"{""model__C"": 32.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",stage2_cv,0.7837485243076799,0.00839814916886721,20.617,3
stage1_073,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 48}",48,8.0,0.02,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 48}",stage2_cv,0.7815015246124992,0.009258676974693951,9.696,3
stage1_028,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 44}",44,8.0,0.02,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 44}",stage2_cv,0.7810009776534873,0.007490184293612932,14.108999999999998,3
stage1_094,stage2_shortlist_from_stage1,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 112}",112,64.0,0.0025,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 112}",stage2_cv,0.7798747587159257,0.004644242331506613,17.581,3
stage1_017,stage2_shortlist_from_stage1,"{""model__C"": 16.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",72,16.0,0.02,"{""model__C"": 16.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",stage2_cv,0.7776256493819744,0.005880712533711583,14.906000000000002,3
stage1_091,stage2_shortlist_from_stage1,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",128,64.0,0.0025,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",stage2_cv,0.7762494148096454,0.005537539049475805,18.075,3
stage1_077,stage2_shortlist_from_stage1,"{""model__C"": 32.0, ""model__gamma"": 0.02, ""pca__n_components"": 128}",128,32.0,0.02,"{""model__C"": 32.0, ""model__gamma"": 0.02, ""pca__n_components"": 128}",stage2_cv,0.7757502742764806,0.0034321916467263355,13.349,3
stage1_087,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 96}",96,4.0,0.005,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 96}",stage2_cv,0.7706253053702121,0.0018327403506748394,11.913,3
stage1_035,stage2_shortlist_from_stage1,"{""model__C"": 64.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",160,64.0,0.05,"{""model__C"": 64.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",stage2_cv,0.7687498365029953,0.0009248787260137427,23.832,3
stage1_014,stage2_shortlist_from_stage1,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",160,2.0,0.05,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",stage2_cv,0.767000383391686,0.005497336787210011,18.022,3
stage1_007,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",160,4.0,0.05,"{""model__C"": 4.0, ""model__gamma"": 0.05, ""pca__n_components"": 160}",stage2_cv,0.7653750239209597,0.004288206840285701,22.157,3
stage1_005,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": 0.05, ""pca__n_components"": 128}",128,8.0,0.05,"{""model__C"": 8.0, ""model__gamma"": 0.05, ""pca__n_components"": 128}",stage2_cv,0.7578746486396627,0.005286258780675484,16.539,3
stage1_038,stage2_shortlist_from_stage1,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 80}",80,2.0,0.05,"{""model__C"": 2.0, ""model__gamma"": 0.05, ""pca__n_components"": 80}",stage2_cv,0.7555000861201426,0.005837176061763842,10.401,3
stage1_084,stage2_shortlist_from_stage1,"{""model__C"": 16.0, ""model__gamma"": 0.05, ""pca__n_components"": 112}",112,16.0,0.05,"{""model__C"": 16.0, ""model__gamma"": 0.05, ""pca__n_components"": 112}",stage2_cv,0.754749336002917,0.005044746042043617,12.666,3
