candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds
stage3_000,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": ""scale"", ""pca__n_components"": 60}",60,2.0,scale,"{""model__C"": 2.0, ""model__gamma"": ""scale"", ""pca__n_components"": 60}",stage3_local_cv,0,0.763125,5.013
stage3_000,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": ""scale"", ""pca__n_components"": 60}",60,2.0,scale,"{""model__C"": 2.0, ""model__gamma"": ""scale"", ""pca__n_components"": 60}",stage3_local_cv,1,0.7575,3.981
stage3_000,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": ""scale"", ""pca__n_components"": 60}",60,2.0,scale,"{""model__C"": 2.0, ""model__gamma"": ""scale"", ""pca__n_components"": 60}",stage3_local_cv,2,0.7475,3.965
stage3_000,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": ""scale"", ""pca__n_components"": 60}",60,2.0,scale,"{""model__C"": 2.0, ""model__gamma"": ""scale"", ""pca__n_components"": 60}",stage3_local_cv,3,0.759375,4.765
stage3_000,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": ""scale"", ""pca__n_components"": 60}",60,2.0,scale,"{""model__C"": 2.0, ""model__gamma"": ""scale"", ""pca__n_components"": 60}",stage3_local_cv,4,0.753125,3.949
stage3_001,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.005, ""pca__n_components"": 60}",60,2.0,0.005,"{""model__C"": 2.0, ""model__gamma"": 0.005, ""pca__n_components"": 60}",stage3_local_cv,0,0.7575,4.166
stage3_001,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.005, ""pca__n_components"": 60}",60,2.0,0.005,"{""model__C"": 2.0, ""model__gamma"": 0.005, ""pca__n_components"": 60}",stage3_local_cv,1,0.7525,3.972
stage3_001,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.005, ""pca__n_components"": 60}",60,2.0,0.005,"{""model__C"": 2.0, ""model__gamma"": 0.005, ""pca__n_components"": 60}",stage3_local_cv,2,0.741875,4.555
stage3_001,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.005, ""pca__n_components"": 60}",60,2.0,0.005,"{""model__C"": 2.0, ""model__gamma"": 0.005, ""pca__n_components"": 60}",stage3_local_cv,3,0.75375,4.584
stage3_001,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.005, ""pca__n_components"": 60}",60,2.0,0.005,"{""model__C"": 2.0, ""model__gamma"": 0.005, ""pca__n_components"": 60}",stage3_local_cv,4,0.74625,3.863
stage3_002,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",60,2.0,0.01,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",stage3_local_cv,0,0.798125,4.367
stage3_002,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",60,2.0,0.01,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",stage3_local_cv,1,0.793125,5.646
stage3_002,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",60,2.0,0.01,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",stage3_local_cv,2,0.783125,5.146
stage3_002,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",60,2.0,0.01,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",stage3_local_cv,3,0.78875,4.449
stage3_002,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",60,2.0,0.01,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",stage3_local_cv,4,0.788125,5.741
stage3_003,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 60}",60,2.0,0.02,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 60}",stage3_local_cv,0,0.805,5.949
stage3_003,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 60}",60,2.0,0.02,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 60}",stage3_local_cv,1,0.811875,4.478
stage3_003,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 60}",60,2.0,0.02,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 60}",stage3_local_cv,2,0.795,4.266
stage3_003,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 60}",60,2.0,0.02,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 60}",stage3_local_cv,3,0.81,5.924
stage3_003,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 60}",60,2.0,0.02,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 60}",stage3_local_cv,4,0.798125,4.382
