candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,cv_mean_accuracy,cv_std_accuracy,total_fit_seconds,completed_folds
stage3_751,stage3_seed_2,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",116,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",stage3_local_cv,0.81075,0.0037165171868296346,27.067,5
stage3_877,stage3_seed_2,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128}",128,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128}",stage3_local_cv,0.810375,0.0028939592256975438,27.246,5
stage3_835,stage3_seed_2,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 124}",124,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 124}",stage3_local_cv,0.8102500000000001,0.00372071901653431,31.629,5
stage3_566,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",112,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",stage3_local_cv,0.810125,0.004355312847546103,27.543000000000003,5
stage3_114,stage3_seed_0,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",68,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",stage3_local_cv,0.8100000000000002,0.005755432216610696,26.201999999999998,5
stage3_683,stage3_seed_2,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 108}",108,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 108}",stage3_local_cv,0.8099999999999999,0.0019364916731037104,31.227999999999998,5
stage3_849,stage3_seed_2,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 124}",124,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 124}",stage3_local_cv,0.8098750000000001,0.003921096785339559,30.916999999999998,5
stage3_149,stage3_seed_0,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 72}",72,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 72}",stage3_local_cv,0.8098749999999999,0.006619101147436887,26.919999999999998,5
stage3_891,stage3_seed_2,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 128}",128,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 128}",stage3_local_cv,0.80975,0.0033447720400648947,26.57,5
stage3_793,stage3_seed_2,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 120}",120,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 120}",stage3_local_cv,0.80975,0.003678484742390542,28.092,5
stage3_765,stage3_seed_2,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",116,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",stage3_local_cv,0.8097499999999999,0.0041193142633210115,26.488,5
stage3_807,stage3_seed_2,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 120}",120,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 120}",stage3_local_cv,0.8095000000000001,0.003940970692608578,28.788999999999998,5
stage3_717,stage3_seed_2,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",112,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",stage3_local_cv,0.809375,0.0020155644370746426,28.418,5
stage3_107,stage3_seed_0,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",68,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",stage3_local_cv,0.8092500000000001,0.003960744879438717,22.443,5
stage3_072,stage3_seed_0,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 64}",64,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 64}",stage3_local_cv,0.8091249999999999,0.007295118230707456,24.244,5
stage3_156,stage3_seed_0,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 72}",72,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 72}",stage3_local_cv,0.8091249999999999,0.004304793839430636,25.55,5
stage3_649,stage3_seed_2,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 104}",104,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 104}",stage3_local_cv,0.8089999999999999,0.0021866069605669764,29.275000000000002,5
stage3_422,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 96}",96,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 96}",stage3_local_cv,0.8088750000000001,0.005279678020485735,28.005000000000003,5
stage3_065,stage3_seed_0,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 64}",64,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 64}",stage3_local_cv,0.8087499999999999,0.0059424321620023726,21.644,5
stage3_800,stage3_seed_2,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 120}",120,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 120}",stage3_local_cv,0.8084999999999999,0.006819090848492929,28.892000000000003,5
stage3_530,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 108}",108,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 108}",stage3_local_cv,0.8084999999999999,0.005556527692723225,29.246,5
stage3_615,stage3_seed_2,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 100}",100,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 100}",stage3_local_cv,0.8083750000000001,0.0024238399287081504,26.540999999999997,5
stage3_536,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 108}",108,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 108}",stage3_local_cv,0.8082499999999999,0.005129571132170808,30.833999999999996,5
stage3_191,stage3_seed_0,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 76}",76,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 76}",stage3_local_cv,0.8081250000000001,0.002270737765573107,25.911,5
stage3_184,stage3_seed_0,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 76}",76,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 76}",stage3_local_cv,0.808,0.0028339460121886775,26.320999999999998,5
stage3_884,stage3_seed_2,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 128}",128,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 128}",stage3_local_cv,0.808,0.004749999999999981,27.622000000000003,5
stage3_494,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 104}",104,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 104}",stage3_local_cv,0.808,0.0037583240945932,28.669,5
stage3_524,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 108}",108,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 108}",stage3_local_cv,0.808,0.00439104201756256,30.719,5
stage3_572,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",112,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",stage3_local_cv,0.8077500000000001,0.005071365693775168,25.987000000000002,5
stage3_458,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 100}",100,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 100}",stage3_local_cv,0.8077500000000001,0.005282636652278868,27.325999999999997,5
stage3_560,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",112,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",stage3_local_cv,0.807625,0.004531142240097966,27.723,5
stage3_428,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 96}",96,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 96}",stage3_local_cv,0.8074999999999999,0.004126893504804801,24.688,5
stage3_758,stage3_seed_2,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",116,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",stage3_local_cv,0.8074999999999999,0.006880679472261433,27.62,5
stage3_577,stage3_seed_1,"{""model__C"": 12.0, ""model__gamma"": 0.005, ""pca__n_components"": 112}",112,12.0,0.005,"{""model__C"": 12.0, ""model__gamma"": 0.005, ""pca__n_components"": 112}",stage3_local_cv,0.8073750000000001,0.005581778390441552,32.111,5
stage3_842,stage3_seed_2,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 124}",124,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 124}",stage3_local_cv,0.80725,0.005385164807134534,30.555,5
stage3_488,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 104}",104,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 104}",stage3_local_cv,0.8071249999999999,0.003273950213427203,26.506999999999998,5
stage3_233,stage3_seed_0,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 80}",80,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 80}",stage3_local_cv,0.807,0.0036954363747736096,22.323,5
stage3_416,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 96}",96,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 96}",stage3_local_cv,0.807,0.004209364560120677,24.966,5
stage3_452,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 100}",100,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 100}",stage3_local_cv,0.8069999999999998,0.003652909799050617,24.743,5
stage3_464,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 100}",100,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 100}",stage3_local_cv,0.8069999999999998,0.0045995923732435155,25.997000000000003,5
stage3_386,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,0.8067500000000001,0.0049117206760971015,27.207,5
stage3_574,stage3_seed_1,"{""model__C"": 12.0, ""model__gamma"": ""scale"", ""pca__n_components"": 112}",112,12.0,scale,"{""model__C"": 12.0, ""model__gamma"": ""scale"", ""pca__n_components"": 112}",stage3_local_cv,0.8067499999999999,0.004974937185533061,26.63,5
stage3_101,stage3_seed_0,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 68}",68,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 68}",stage3_local_cv,0.806625,0.005681659088681754,23.012999999999998,5
stage3_121,stage3_seed_0,"{""model__C"": 12.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",68,12.0,0.01,"{""model__C"": 12.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",stage3_local_cv,0.806625,0.0065024034018199735,23.701,5
stage3_198,stage3_seed_0,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 76}",76,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 76}",stage3_local_cv,0.806625,0.00225693376065846,24.739,5
stage3_275,stage3_seed_0,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 84}",84,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 84}",stage3_local_cv,0.806625,0.004818583816849106,25.36,5
stage3_303,stage3_seed_0,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",88,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",stage3_local_cv,0.8063750000000001,0.004444097208657797,29.893,5
stage3_500,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 104}",104,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 104}",stage3_local_cv,0.8063750000000001,0.0036742346141747572,31.242,5
stage3_079,stage3_seed_0,"{""model__C"": 12.0, ""model__gamma"": 0.01, ""pca__n_components"": 64}",64,12.0,0.01,"{""model__C"": 12.0, ""model__gamma"": 0.01, ""pca__n_components"": 64}",stage3_local_cv,0.80625,0.008357257325223372,23.155,5
stage3_135,stage3_seed_0,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 72}",72,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 72}",stage3_local_cv,0.80625,0.0028504385627478525,23.996,5
stage3_310,stage3_seed_0,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",88,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",stage3_local_cv,0.80625,0.003010398644698079,26.609,5
stage3_219,stage3_seed_0,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 80}",80,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 80}",stage3_local_cv,0.8061250000000001,0.00403887360535087,21.135,5
stage3_317,stage3_seed_0,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",88,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",stage3_local_cv,0.806125,0.005440013786747247,25.831999999999997,5
stage3_051,stage3_seed_0,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 64}",64,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 64}",stage3_local_cv,0.805875,0.005312132340218937,22.23,5
stage3_094,stage3_seed_0,"{""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 68}",68,3.0,0.02,"{""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 68}",stage3_local_cv,0.805875,0.0055985489191396984,23.246,5
stage3_870,stage3_seed_2,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 128}",128,2.0,0.01,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 128}",stage3_local_cv,0.805875,0.002811805469800507,26.666,5
stage3_240,stage3_seed_0,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 80}",80,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 80}",stage3_local_cv,0.805625,0.003137475099502796,25.127000000000002,5
stage3_226,stage3_seed_0,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 80}",80,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 80}",stage3_local_cv,0.805625,0.003307189138830756,26.293,5
stage3_380,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,0.8056249999999998,0.0035355339059327485,32.065,5
stage3_177,stage3_seed_0,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 76}",76,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 76}",stage3_local_cv,0.8055,0.00345506874027129,27.926000000000002,5
stage3_045,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 64}",64,2.0,0.02,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 64}",stage3_local_cv,0.8053750000000001,0.0042683427697409885,21.217,5
stage3_100,stage3_seed_0,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",68,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",stage3_local_cv,0.805375,0.0033213325638965815,24.073,5
stage3_087,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 68}",68,2.0,0.02,"{""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 68}",stage3_local_cv,0.80525,0.003459588125774544,22.073,5
stage3_268,stage3_seed_0,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 84}",84,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 84}",stage3_local_cv,0.80525,0.0024238399287081517,23.581,5
stage3_786,stage3_seed_2,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 120}",120,2.0,0.01,"{""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 120}",stage3_local_cv,0.80525,0.0038850675669800153,27.226,5
stage3_392,stage3_seed_1,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,0.80525,0.0036784847423905424,29.136999999999997,5
stage3_163,stage3_seed_0,"{""model__C"": 12.0, ""model__gamma"": 0.01, ""pca__n_components"": 72}",72,12.0,0.01,"{""model__C"": 12.0, ""model__gamma"": 0.01, ""pca__n_components"": 72}",stage3_local_cv,0.8052499999999998,0.004100304866714205,24.997000000000003,5
stage3_261,stage3_seed_0,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 84}",84,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 84}",stage3_local_cv,0.8052499999999998,0.0036571847095819227,26.038,5
stage3_023,stage3_seed_0,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",60,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",stage3_local_cv,0.805125,0.0053967582862307194,25.802,5
stage3_030,stage3_seed_0,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",60,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 60}",stage3_local_cv,0.805125,0.004766418991234413,25.810000000000002,5
stage3_542,stage3_seed_1,"{""model__C"": 12.0, ""model__gamma"": 0.01, ""pca__n_components"": 108}",108,12.0,0.01,"{""model__C"": 12.0, ""model__gamma"": 0.01, ""pca__n_components"": 108}",stage3_local_cv,0.805125,0.004633438248212673,30.282,5
