candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,split_idx,split_accuracy,fit_seconds
stage3_114,stage4_top_from_stage3,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",68,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",stage4_stability,0,0.7995,4.049
stage3_114,stage4_top_from_stage3,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",68,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",stage4_stability,1,0.7955,3.95
stage3_114,stage4_top_from_stage3,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",68,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",stage4_stability,2,0.797,4.126
stage3_114,stage4_top_from_stage3,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",68,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",stage4_stability,3,0.8045,4.415
stage3_114,stage4_top_from_stage3,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",68,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",stage4_stability,4,0.8015,5.263
stage3_114,stage4_top_from_stage3,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",68,8.0,0.01,"{""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 68}",stage4_stability,5,0.7935,5.606
stage3_566,stage4_top_from_stage3,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",112,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",stage4_stability,0,0.8,5.571
stage3_566,stage4_top_from_stage3,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",112,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",stage4_stability,1,0.79,4.916
stage3_566,stage4_top_from_stage3,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",112,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",stage4_stability,2,0.8065,4.805
stage3_566,stage4_top_from_stage3,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",112,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",stage4_stability,3,0.807,4.815
stage3_566,stage4_top_from_stage3,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",112,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",stage4_stability,4,0.8105,4.887
stage3_566,stage4_top_from_stage3,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",112,6.0,0.01,"{""model__C"": 6.0, ""model__gamma"": 0.01, ""pca__n_components"": 112}",stage4_stability,5,0.8025,4.844
stage3_751,stage4_top_from_stage3,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",116,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",stage4_stability,0,0.799,6.517
stage3_751,stage4_top_from_stage3,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",116,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",stage4_stability,1,0.792,6.487
stage3_751,stage4_top_from_stage3,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",116,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",stage4_stability,2,0.811,6.407
stage3_751,stage4_top_from_stage3,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",116,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",stage4_stability,3,0.805,6.612
stage3_751,stage4_top_from_stage3,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",116,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",stage4_stability,4,0.8035,5.821
stage3_751,stage4_top_from_stage3,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",116,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 116}",stage4_stability,5,0.8,5.455
stage3_835,stage4_top_from_stage3,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 124}",124,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 124}",stage4_stability,0,0.7975,6.163
stage3_835,stage4_top_from_stage3,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 124}",124,3.0,0.01,"{""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 124}",stage4_stability,1,0.7965,7.046
